id,hdr_path,ldr_path,height,width,tmqi_q,tmqi_s,tmqi_n,tmqi2_q,tmqi2_s,tmqi2_n,nlpd
a2808,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2808-20080516_072208__MG_0018.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2808.png,341,512,0.9086857592475244,0.8207177783178247,0.6992971078507036,0.8430474712555627,0.7542234753100467,0.9318714672010785,0.19991596043109894
a2824,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2824-dvf_035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2824.png,341,512,0.7569839254463034,0.7838335596302807,0.021492524965581364,0.216112321143496,0.43222464225896384,2.8028118399896268e-11,0.1066635400056839
a2854,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2854-NKIM_MG_7374.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2854.png,341,512,0.8674940085455805,0.9621328111535995,0.25590653821657405,0.7647873076730256,0.8884114685156596,0.6411631468303918,0.2929419279098511
a2861,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2861-IMG_4397.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2861.png,341,512,0.7288963728215131,0.7198032267932093,0.00410916386958098,0.22968181229419596,0.4593636245883919,1.6373836369848581e-41,0.15815813839435577
a2862,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2862-_DSC0055.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2862.png,340,512,0.9289043180294976,0.7867115848638986,0.8977085203955334,0.36243505882895805,0.7166195282495498,0.008250589408366262,0.20877540111541748
a2876,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2876-jn_20080130_Las_Vegas_0082.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2876.png,341,512,0.6782708651502757,0.5054838246312349,0.06107992152981616,0.2960487759449888,0.5920975509420884,9.478892100387244e-10,0.21305608749389648
a2883,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2883-_DSC0008-2.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2883.png,340,512,0.8473523813294915,0.8842041739884001,0.2557670277028462,0.8034934807879148,0.6092540597179992,0.9977329018578306,0.0633026510477066
a2913,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2913-IMG_0138.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2913.png,341,512,0.8568892281486031,0.7937297634444509,0.43460980985456804,0.4413572243433036,0.8805255156299557,0.0021889330566514644,0.22917719185352325
a2933,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2933-_I2E7313.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2933.png,341,512,0.6886246654782338,0.5590221414568606,0.03241792842700286,0.27832858294404844,0.5566571658880969,2.9152533800262825e-25,0.204027459025383
a2956,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2956-KE_-0035.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2956.png,340,512,0.9561321242077317,0.8358040005578141,0.9910001943317944,0.3214382079811696,0.6059606798661034,0.03691573609623587,0.18966816365718842
a2986,/mnt/data_disk/HDRData/1000hdr/HDRtest/a2986-_DGW6325.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a2986.png,341,512,0.8339910510850178,0.7988311011074705,0.3054539029284964,0.446974585266988,0.8790109079432404,0.014938262590735578,0.2666829526424408
a3267,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3267-WP_CRW_0087.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3267.png,341,512,0.9352209723179927,0.8285367467463722,0.8599326261376177,0.8360125382263544,0.8072989988460597,0.8647260776066489,0.2101520150899887
a3285,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3285-CRW_0291.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3285.png,341,512,0.8417486425485685,0.8570743113369623,0.2638530314236856,0.40325534823519743,0.8065106827021862,1.3768208673661304e-08,0.35005709528923035
a3288,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3288-KE_-0049.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3288.png,340,512,0.8300023751083166,0.7525039014746625,0.3542698563184668,0.37700726052167927,0.7539133834446268,0.00010113759873172054,0.17327962815761566
a3306,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3306-IMG_4969.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3306.png,341,512,0.7953053799571058,0.7866975106600564,0.1449385118073725,0.3784379150330961,0.7568758300661789,1.3341319311779043e-14,0.20288795232772827
a3312,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3312-IMG_1063.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3312.png,341,512,0.7963993265947757,0.7461015521294082,0.20023007197062073,0.3531777667665155,0.7063555335323277,7.033314383388915e-13,0.19402727484703064
a3315,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3315-MB_20030906_022.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3315.png,341,512,0.8823391394399811,0.7570490068048418,0.6485831712093101,0.49456807112709744,0.7221893244429829,0.26694681781121193,0.314424991607666
a3316,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3316-20051225_163230__MG_1390.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3316.png,341,512,0.9369414457209136,0.9364557510164466,0.6822430940802369,0.9426413928162698,0.9086382383721319,0.9766445472604076,0.12251436710357666
a3318,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3318-JI2E5722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3318.png,341,512,0.8901513352821637,0.9323657462153326,0.41103742651089603,0.9069839273657757,0.822012518818092,0.9919553359134594,0.11143829673528671
a3321,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3321-DSC_0054.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3321.png,340,512,0.9850604476980377,0.9438714509288496,0.9931549955574507,0.869421785050184,0.8980870820956466,0.8407564880047214,0.09116088598966599
a3325,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3325-050819_154342__MG_5227.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3325.png,341,512,0.9601761398390177,0.8730428210799501,0.9481300664591472,0.9432766893850902,0.8868867472290083,0.9996666315411722,0.08638646453619003
a3337,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3337-dgw_112.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3337.png,341,512,0.7862714143860725,0.7436049335050334,0.1598571370150052,0.3788420966306347,0.7576841932612454,2.3939461560476004e-14,0.35931119322776794
a3339,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3339-_MG_7202.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3339.png,341,512,0.755391467623372,0.7488244915940583,0.04411334063910868,0.33012627489990265,0.6602525497998053,2.4764014795499098e-23,0.2053142488002777
a3341,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3341-jmac_DSC2590.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3341.png,340,512,0.7900833887734774,0.8441100242057069,0.06676982440831025,0.38552498612702063,0.7710499722540398,1.4552055582315896e-15,0.09392469376325607
a3344,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3344-NKIM_MG_6348.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3344.png,341,512,0.9843942635009371,0.9531458461557182,0.9718728361615449,0.9110184889190853,0.8365131352372583,0.9855238426009124,0.05210314318537712
a3345,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3345-20080514_105211__MG_9917.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3345.png,341,512,0.8054465634656287,0.8436578087668071,0.12171835633669058,0.2999590798163549,0.5999181590100447,6.22665070720859e-10,0.17485183477401733
a3351,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3351-KE_-1722.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3351.png,340,512,0.7737559526056387,0.8260297799606575,0.03340116942644432,0.3629714409828902,0.7259428819656751,1.0522294401329029e-13,0.11600048840045929
a3356,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3356-_DSC9981.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3356.png,341,512,0.7753420834136259,0.7553162230274105,0.10332037032285031,0.27087382298021234,0.5417476459603936,3.108251696747542e-14,0.19048377871513367
a3360,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3360-IMG_0017.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3360.png,341,512,0.8979800493210395,0.8243254712265761,0.6255732231841644,0.5270556200697767,0.906006347746819,0.14810489239273428,0.18531307578086853
a3365,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3365-jn_20071207_Xmas_House_0124.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3365.png,341,512,0.891476892423704,0.7709630908676398,0.6803547286466952,0.7496292977552615,0.7812090492894512,0.7180495462210719,0.11697429418563843
a3366,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3366-Ja_Pe-6.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3366.png,288,512,0.8168440914601443,0.7458660420033265,0.2970773985933645,0.3884459772784219,0.7768919511885628,3.3682809948715474e-09,0.24977287650108337
a3369,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3369-IMG_0004.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3369.png,341,512,0.7906803388567104,0.788491516875342,0.12458857829720597,0.4104612694464986,0.8209225388929972,6.356290392163865e-20,0.2869160771369934
a3371,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3371-07-12-01-at-11h32m58s-_MG_8498.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3371.png,341,512,0.8743177027147327,0.8868443898115318,0.38947851189875965,0.40324272204897693,0.7758731309757548,0.030612313122199027,0.2130085825920105
a3382,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3382-IMG_4032.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3382.png,341,512,0.8970543983494228,0.8355509476644315,0.6006827253761088,0.6855679489316601,0.8682949596154045,0.5028409382479156,0.16024497151374817
a3388,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3388-jmac_DSC2214.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3388.png,340,512,0.902823420740859,0.8932236087954472,0.5415500064601008,0.7194716732180994,0.7591493569309623,0.6797939895052364,0.11610784381628036
a3390,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3390-dgw_070.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3390.png,341,512,0.8555959772415609,0.6365476650167452,0.7192156981089327,0.6389373814124794,0.7006855351384769,0.5771892276864818,0.26378777623176575
a3391,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3391-050904_125814__I2E8654.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3391.png,341,512,0.7939538439630727,0.6846237741357418,0.2772652061135548,0.3357774245522728,0.6715541353196155,7.137849300880403e-07,0.22822332382202148
a3393,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3393-_DSC0057.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3393.png,340,512,0.7721384545725152,0.8099650542659277,0.04127159439380991,0.8139691037254241,0.8633966889803664,0.7645415184704818,0.1444283276796341
a3394,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3394-_DGW6419.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3394.png,341,512,0.7673835896533557,0.6535104004110737,0.2001064801149512,0.3052758724234725,0.610551744846945,8.36552520557893e-18,0.394054651260376
a3400,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3400-07-11-04-at-17h36m14s-_MG_4004.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3400.png,341,512,0.7767024006878116,0.8501131113024111,0.02407752096151364,0.3467200015273997,0.6934400030547994,4.940408034805275e-26,0.19351905584335327
a3401,/mnt/data_disk/HDRData/1000hdr/HDRtest/a3401-20061111_122429__E6B5415.exr,/mnt/data_disk/ZQL/TIP_TMO_result/dnn/PUCN/a3401.png,341,512,0.896021820858821,0.9271614187273447,0.4510598258898015,0.9104656271629534,0.9467028388604483,0.8742284154654585,0.09715955704450607
